district,price,GrossSquareMeters,NumberFloorsofBuilding,ItemStatus,NumberOfBathrooms,NumberOfRooms,FloorLocation
2,0.2675879396984924,0.12539515279241306,4,0,1,5,0
2,0.16959798994974876,0.1095890410958904,4,0,2,3,40
2,0.35929648241206025,0.09378292939936775,30,0,1,1,16
2,0.1708542713567839,0.062170706006322435,3,1,1,1,40
2,0.24120603015075376,0.1517386722866175,3,0,1,5,50
2,0.29648241206030146,0.13593256059009484,3,0,1,5,12
2,0.29648241206030146,0.14646996838777662,8,0,1,5,37
2,0.12562814070351758,0.08324552160168598,5,0,1,3,40
2,0.16834170854271358,0.16754478398314016,3,0,2,5,12
2,0.31783919597989946,0.11485774499473128,6,0,1,5,50
2,0.26507537688442206,0.08324552160168598,8,0,1,3,32
2,0.44346733668341703,0.1517386722866175,17,0,1,5,34
2,0.1708542713567839,0.08851422550052686,5,0,1,3,40
2,0.6231155778894472,0.12539515279241306,5,0,2,5,34
2,0.21231155778894473,0.0958904109589041,3,0,2,3,12
2,0.3165829145728643,0.10432033719704951,3,0,1,3,24
2,0.21105527638190955,0.08851422550052686,7,0,1,3,50
2,0.29648241206030146,0.11485774499473128,4,0,1,5,24
2,0.12311557788944724,0.07797681770284509,4,0,1,3,0
2,0.33417085427135673,0.1886195995785037,4,0,2,4,32
2,0.12562814070351758,0.11485774499473128,4,0,1,3,12
2,0.2562814070351758,0.07270811380400422,7,0,1,3,32
2,0.3467336683417085,0.16754478398314016,3,1,1,6,24
2,0.7738693467336683,0.12223393045310853,30,0,2,5,5
2,0.3115577889447236,0.10432033719704951,7,0,1,3,0
2,0.23241206030150754,0.10432033719704951,14,0,1,3,4
2,0.30276381909547734,0.1095890410958904,4,0,1,5,0
2,0.3831658291457286,0.13171759747102213,4,0,1,3,24
2,0.15326633165829145,0.062170706006322435,4,0,1,1,41
2,0.38442211055276376,0.09905163329820864,13,0,1,3,35
2,0.2399497487437186,0.1517386722866175,3,0,1,5,50
2,0.949748743718593,0.13066385669125397,30,0,1,3,25
2,0.8743718592964823,0.10432033719704951,30,0,1,1,8
2,0.8241206030150753,0.10853530031612223,30,0,1,3,25
2,0.3090452261306532,0.06743940990516333,9,0,1,1,34
2,0.21482412060301506,0.10432033719704951,3,0,2,3,0
2,0.32914572864321606,0.19915700737618547,5,0,2,5,51
2,0.5389447236180904,0.23076923076923075,4,0,2,10,32
2,0.3090452261306532,0.10432033719704951,4,0,1,5,24
2,0.1984924623115578,0.12539515279241306,4,0,1,5,41
2,0.35301507537688437,0.10432033719704951,7,0,1,3,34
2,0.18592964824120603,0.10432033719704951,5,0,1,3,32
2,0.30402010050251255,0.10432033719704951,8,0,1,3,32
2,0.15829145728643215,0.06743940990516333,4,1,1,1,0
2,0.29648241206030146,0.14646996838777662,3,0,1,5,0
2,0.2839195979899497,0.10432033719704951,13,0,1,3,12
2,0.2587939698492462,0.1780821917808219,5,0,2,6,51
2,0.371859296482412,0.10432033719704951,13,0,1,3,24
2,0.4346733668341708,0.062170706006322435,30,0,0,1,25
2,0.1407035175879397,0.07797681770284509,3,0,1,1,50
2,0.8492462311557788,0.1138040042149631,30,0,1,1,22
2,0.6733668341708542,0.16227608008429925,4,0,1,5,45
2,0.09045226130653267,0.09378292939936775,5,0,1,3,0
2,0.8743718592964823,0.13593256059009484,1,0,1,5,45
2,0.8994974874371858,0.23603793466807166,2,0,1,3,0
2,0.4849246231155779,0.19915700737618547,4,0,2,7,32
2,0.6608040201005024,0.12012644889357217,8,0,2,5,37
2,0.6105527638190954,0.14120126448893572,10,0,1,5,2
2,0.6168341708542713,0.12539515279241306,15,0,1,3,50
2,0.20100502512562815,0.13066385669125397,3,0,2,5,0
2,0.38190954773869346,0.19915700737618547,2,0,2,8,12
2,0.321608040201005,0.2518440463645943,4,0,2,5,32
2,0.20854271356783918,0.09378292939936775,3,0,2,3,24
2,0.5351758793969849,0.3150684931506849,2,0,0,0,41
2,0.16834170854271358,0.07797681770284509,4,0,1,1,40
2,0.2587939698492462,0.08851422550052686,3,0,1,3,12
2,0.3366834170854271,0.14120126448893572,7,0,1,5,12
2,0.44723618090452255,0.12012644889357217,7,0,1,5,32
2,0.4095477386934673,0.12012644889357217,4,0,1,5,24
2,0.7110552763819095,0.27291886195995785,10,0,2,8,2
2,0.3467336683417085,0.13593256059009484,6,0,1,5,34
2,0.4346733668341708,0.4204425711275026,3,0,2,18,24
2,0.22613065326633167,0.09378292939936775,3,0,1,3,50
2,0.20854271356783918,0.05690200210748155,3,0,1,1,0
2,0.18969849246231155,0.09378292939936775,3,0,1,3,12
2,0.1708542713567839,0.09378292939936775,4,0,1,3,40
2,0.1871859296482412,0.10432033719704951,4,0,1,3,42
2,0.135678391959799,0.06743940990516333,4,0,1,1,50
2,0.2449748743718593,0.08324552160168598,8,0,1,3,34
2,0.4095477386934673,0.10432033719704951,8,0,1,3,36
2,0.6356783919597989,0.13593256059009484,9,0,2,5,24
2,0.1457286432160804,0.10432033719704951,4,0,1,3,48
2,0.1042713567839196,0.062170706006322435,4,0,1,1,43
2,0.9371859296482411,0.10432033719704951,30,0,1,0,10
2,0.8228643216080401,0.1780821917808219,10,0,2,7,40
2,0.3467336683417085,0.13066385669125397,5,0,1,5,32
2,0.3969849246231155,0.1886195995785037,4,0,2,7,51
2,0.371859296482412,0.2939936775553214,4,1,2,8,32
2,0.21231155778894473,0.09378292939936775,4,0,1,3,12
2,0.2198492462311558,0.08324552160168598,8,0,1,3,12
2,0.23492462311557788,0.08324552160168598,8,0,1,3,35
2,0.23241206030150754,0.08324552160168598,8,0,1,3,0
2,0.14547738693467338,0.05163329820864067,8,0,1,1,0
2,0.5477386934673366,0.12539515279241306,9,0,2,5,24
2,0.27135678391959794,0.10432033719704951,1,0,1,3,41
2,0.39321608040201,0.11485774499473128,10,0,1,5,38
2,0.12060301507537688,0.08851422550052686,7,0,1,3,50
2,0.3467336683417085,0.16754478398314016,3,0,1,5,0
2,0.3115577889447236,0.10432033719704951,7,0,1,3,0
2,0.24120603015075376,0.11064278187565858,4,0,1,3,12
2,0.5603015075376884,0.15700737618545837,6,0,1,5,35
2,0.5854271356783919,0.10432033719704951,19,0,2,3,6
2,0.30402010050251255,0.09378292939936775,5,0,1,3,0
2,0.11683417085427136,0.046364594309799785,9,0,1,0,37
2,0.14824120603015076,0.07270811380400422,3,0,1,3,50
2,0.1871859296482412,0.13593256059009484,8,0,1,5,24
2,0.3517587939698492,0.11485774499473128,11,0,2,5,24
2,0.8115577889447235,0.20969441517386722,7,0,2,8,36
